rank,title,link,video_id,channel,channel_id,published,description,views,likes,dislikes,comments,favorites,duration,definition,caption,tags,category_id,regiao,idioma,termo
11,"30 dias comprando BITCOIN x CAIXINHA, qual valeu a pena? #Shorts",https://www.youtube.com/watch?v=H12gMVRjIns,H12gMVRjIns,Gêmeos Investem,UC-hA65Fjv5X8h-J92zc_L8Q,2025-05-06T21:54:25Z,,1120120,35244,0,357,0,PT1M9S,hd,false,,27,br,pt,bitcoin
12,Como eu faço para LUCRAR com BITCOIN? #bitcoin,https://www.youtube.com/watch?v=UJ15dLYUFiA,UJ15dLYUFiA,A Cara da Riqueza,UC3Z2XdKUu21_KtMsohZedOQ,2024-07-26T20:59:00Z,,796769,45596,0,943,0,PT56S,hd,false,,27,br,pt,bitcoin
13,3 INVESTIMENTOS PARA INICIANTES EM CRIPTOMOEDAS | Como começar a INVESTIR em BITCOIN?,https://www.youtube.com/watch?v=eNNxW0kt_h4,eNNxW0kt_h4,O Primo Rico,UCT4nDeU5pv1XIGySbSK-GgA,2024-01-25T22:00:17Z,GARANTA SUA VAGA NO “DO MIL AO VIVER DE RENDA”: https://r.oprimorico.com.br/ef8d871a74 . . BLACK FRIDAY FINCLASS ...,930674,63977,0,1277,0,PT12M1S,hd,false,"thiago nigro, primo rico, melhores ações para 2024, melhores criptomoedas para investir 2024, criptomoedas promissoras 2024, criptos para 2024, criptos promissoras, criptos baratas e promissoras, melhores criptos, bitcoin",22,br,pt,bitcoin
14,"🚨Como será o fim das criptomoedas, de acordo com Os Simpsons #Bitcoin #Crypto #Simpsons #BTC",https://www.youtube.com/watch?v=u5Rc8Vr8OX4,u5Rc8Vr8OX4,BlockTrends,UCSAXYj-E9RHN_mW3bviuTCA,2024-04-12T14:20:38Z,,1387198,77751,0,1895,0,PT1M,hd,false,,27,br,pt,bitcoin
15,"HUGE VOLATILITY COMING!🚨 Bitcoin, Ethereum &amp; Altcoins Update",https://www.youtube.com/watch?v=guyms4R0FeE,guyms4R0FeE,Cilinix Crypto,UC8QWLZNoN3whQ7QMwoDp78A,2025-12-11T15:10:00Z,"CRYPTO MARKET UPDATE Join the Premium Signal Group for trade setups, mentorship & a community focused on real ...",2018,129,0,31,0,PT9M38S,hd,false,"crypto, cryptocurrency, crypto news, crypto crash, cryptocurrency news, crypto news today, crypto trading, crypto market update, crypto market, top crypto",28,br,pt,bitcoin
16,"Alta Frustrada? Bitcoin Reage, Mas a Incerteza do FED Derruba o Mercado ⚠️",https://www.youtube.com/watch?v=HheszajURlc,HheszajURlc,BitNada,UCT50TWqh-Z5eo6DKJSabOMA,2025-12-11T15:45:07Z,"Como esperado, FED corta 0,25% nos juros americanos. Mas preocupação com inflação racha o Banco Central Americano, que ...",5740,488,0,1,0,PT3H8M26S,hd,false,"bitcoin, ethereum, BTC, ETH, BNB, mercado bitcoin, criptomoeda, wallets, cripto, metamask",27,br,pt,bitcoin
17,🚨 BITCOIN PODE CAIR PRA 60K DEVIDO A BANDEIRA DE BAIXA,https://www.youtube.com/watch?v=P8HTEu7JLfM,P8HTEu7JLfM,CRIPTOMANIACOS,UCEkg0hhWS_oxD24f_6C9Qbw,2025-12-08T23:42:47Z,"O BITCOIN vem respeitando o padrão de bandeira nesse ciclo... só que dessa vez temos uma BANDEIRA DE BAIXA, que se for ...",44587,5109,0,450,0,PT14M1S,hd,false,"criptomaniacos, criptomoedas, mercado bitcoin, ethereum, comprar bitcoin, criptomoeda, btc, eth, binance, altcoins",22,br,pt,bitcoin
18,Why Bitcoin’s Next Big Move Is Closer Than Everyone Thinks,https://www.youtube.com/watch?v=JWUeyIQ-cb8,JWUeyIQ-cb8,Anthony Pompliano,UCevXpeL8cNyAnww-NqJ4m2w,2025-12-11T22:00:32Z,"Mel Mattison is one of the leading macro strategists on the internet, known for his deep insights into global markets and digital ...",6965,504,0,12,0,PT48M24S,hd,false,"Anthony Pompliano, Pomp, Pomp Podcast, bitcoin, btc, bitcoin news, investing, Business, Finance, Investor",25,br,pt,bitcoin
19,PLACA DE 4.500 REAIS QUE MINERA BITCOIN DE VERDADE!,https://www.youtube.com/watch?v=7w0Ff-nEkGo,7w0Ff-nEkGo,Gêmeos Investem,UC-hA65Fjv5X8h-J92zc_L8Q,2025-06-30T21:08:18Z,Se inscreva para a Imersão Despertar do Produtor Milionário - https://gemeosinvestem.com/cadastro-fme-ytd Comece a investir ...,770955,19762,0,816,0,PT24M32S,hd,false,"investir, finanças, investimento, gemeos, gemeos investem, como ganhar dinheiro, renda extra, como minerar bitcoin, mineração de bitcoin, Bitcoin",27,br,pt,bitcoin
20,BITCOIN VAI SUBIR PÓS CORTE DE JUROS AMERICANO??,https://www.youtube.com/watch?v=fi85Cjczxfo,fi85Cjczxfo,Investidor 4.20,UC8oofAsuieQv3imZGvaUDOQ,2025-12-08T20:00:44Z,+ Conteúdo Gratuito toda semana no seu e-mail: ...,30412,3603,0,176,0,PT27M13S,hd,false,"bitcoin, criptomoeda, investidor4.20, lucas amendola, ethereum, cripto, melhores criptomoedas, mercado cripto, investidor 4.20, como investir em criptomoedas",24,br,pt,bitcoin
21,URGENTE: RENATO TREZOITÃO traz GRANDE ALERTA sobre BITCOIN?,https://www.youtube.com/watch?v=ukzSpdw9Mcg,ukzSpdw9Mcg,Marcello Paz,UC-rm898HcXD-oikqGYnv94A,2025-11-18T17:01:40Z,Trade SEM TAXA ou COMISSÃO é na Quantfury! Abra sua conta: https://bit.ly/quantfurymp Compre sua carteira com 15% ...,36988,2088,0,155,0,PT7M49S,hd,false,"bitcoin, ethereum, como investir em bitcoin, como funciona bitcoin, btc, eth, criptomoedas, como comprar criptomoedas, investir em criptomoedas",27,br,pt,bitcoin
22,LIVE GOLD TRADING / XAUUSD LIVE / BTCUSD LIVE /  🔥  @Shivamwilliam,https://www.youtube.com/watch?v=wjhM5zV2-0Y,wjhM5zV2-0Y,Shivam William ,UCJ8Ol-89ISk4NIAtS8HLXQw,2025-12-12T00:35:06Z,LIVE GOLD TRADING / XAUUSD LIVE / BTCUSD LIVE / LIVE TRADING FREE TELEGRAM CHANNEL ...,5004,237,0,0,0,P0D,sd,false,,22,br,pt,bitcoin
23,O MAIOR ROUBO “LEGAL” de BITCOIN da HISTÓRIA! 😱,https://www.youtube.com/watch?v=HPQeQwPahR0,HPQeQwPahR0,O Primo Rico,UCT4nDeU5pv1XIGySbSK-GgA,2025-10-17T11:45:08Z,"O maior confisco de Bitcoin da história acaba de acontecer! Vou te explicar quem fez o confisco bilionário de Bitcoin, quanto foi ...",52563,2418,0,126,0,PT2M38S,hd,false,"maior confisco de bitcoin, confisco bitcoin 2025, governo confisca bitcoin, bitcoins apreendidos, maior apreensão de bitcoin, confisco cripto 2025, bitcoin governo eua, thiago nigro, o primo rico shorts, bitcoins confiscados",27,br,pt,bitcoin
24,🚨 BTC &amp; ETH: HORRIBLE NEWS!!!!!! BEWARE!!!!,https://www.youtube.com/watch?v=0fYLQPZKnDo,0fYLQPZKnDo,Thomas Kralow,UCBhORXMwPfJtNtsZcUJHO6w,2025-12-11T12:30:05Z,What FED just said and did directly affects crypto and bitcoin! Here is what most are missing in the big macro picture. AI Trading ...,15125,646,0,45,0,PT11M29S,hd,false,"bitcoin crash, Bitcoin daily, bitcoin dump, Bitcoin live, Bitcoin news, Bitcoin price, bitcoin pump, Bitcoin today, Bitcoin trading, btc analysis",24,br,pt,bitcoin
25,$80 Investment $4200 Bitcoin Trading Profit 🔥🔥🔥 #cryptotrading #Bitcoin #trader,https://www.youtube.com/watch?v=RcO312nl2qI,RcO312nl2qI,Mak Crypto Signals,UCCs2yAPn3mE3_ix2kjGBnKw,2024-12-12T15:05:49Z,,3799851,39479,0,2928,0,PT11S,hd,false,,22,br,pt,bitcoin
26,99.99% Pure Gold Bitcoin Mass Production Process #allprocessofworld,https://www.youtube.com/watch?v=qLKADDR7t0E,qLKADDR7t0E,All process of world,UCSNIT8Z40XgB4RKk9Vhf1eA,2024-03-20T09:00:48Z,gold #goldbar #bitcoin #manufacturing #factory.,22770447,593419,0,2565,0,PT58S,hd,false,,26,br,pt,bitcoin
27,"⚠️ EMERGENCY - BIG NEWS FED CUT RATE फिर भी BITCOIN CRYPTO CRASH ? सब खत्म या कोई उम्मीद, क्या करे ?",https://www.youtube.com/watch?v=JSHxU-WnibE,JSHxU-WnibE,Bitcoin Expert India,UCr8uEbKAxiX0dVDejI0nufw,2025-12-11T06:51:28Z,"In this video, we will share and understand Fed cut rates but still we are seeing bitcoin and cryptocurrency market crash.",16566,1285,0,4,0,PT13M40S,hd,false,"bitcoin, crypto, cryptocurrency, bitcoin today, Bitcoin, meme coins, Ether, sol, doge, shiba inu",22,br,pt,bitcoin
28,The Fed CUTS… and Bitcoin DROPS Below $90K?!,https://www.youtube.com/watch?v=u_H9gXNc630,u_H9gXNc630,Simply Bitcoin,UCB6Q0S1gUHXMe5-Jjx0_laQ,2025-12-12T00:05:53Z,"Jerome Powell just went full-dovish — QT is winding down, liquidity is returning, and rate hikes are off the table. Bitcoin dipped ...",6905,976,0,73,0,PT18M22S,hd,false,"Bitcoin cycle dead, Bitcoin supercycle, Jerome Powell Bitcoin, Bitcoin FOMC, Bitcoin rate cuts, Bitcoin QE, liquidity flip Bitcoin, Bitcoin macro, Bitcoin halving dead, Cynthia Lummis Bitcoin bill",25,br,pt,bitcoin
29,"URGENTE: DECISÃO DE JURO AMERICANO E IMPACTO NO BITCOIN (BTC), ETHEREUM (ETH), CRIPTOMOEDAS!",https://www.youtube.com/watch?v=H0acCY1kSW8,H0acCY1kSW8,Yubb,UCoNkJtAvRbc0t_KR8PSNs8w,2025-12-10T20:55:45Z,SORTEIO $ 1.000 USDT + RECEBIDOS SINGAPURA: ...,23356,2935,0,64,0,PT2H18M56S,hd,false,"bitcoin, btc, ethereum, eth, criptomoedas, comprar bitcoin, comprar ethereum, altcoins, bitcoin analise, analise bitcoin",24,br,pt,bitcoin
30,"POR QUE TER 0,1 BITCOIN (BTC) PODE MUDAR A SUA VIDA FINANCEIRA",https://www.youtube.com/watch?v=t8x4Wa0Fmi4,t8x4Wa0Fmi4,Bruno Perini - Você MAIS Rico,UCCE-jo1GvBJqyj1b287h7jA,2025-07-06T12:01:37Z,"GARANTA SUA VAGA NO “DO MIL AO VIVER DE RENDA"": https://r.vocemaisrico.com/5fe673890e FALE COM UM ...",415946,24511,0,774,0,PT16M33S,hd,false,"educação financeira, finanças pessoais, bruno perini, você mais rico, bolsa de valores, viver de renda, voce mais rico, investimentos, bruno, perini",27,br,pt,bitcoin
31,"&quot;BITCOIN NÃO É SÓ UMA MOEDA VIRTUAL&quot; É físico, e também item de coleção!",https://www.youtube.com/watch?v=uUvllN5pOJw,uUvllN5pOJw,Collectprime,UCmnsd_BPzm4lSPJQQzPYjKw,2024-09-16T12:01:04Z,"Esse é o Bitcoin Redeemed 2013 Casascius MS67, o famoso Bitcoin físico graduado pela NGC uma moeda inédita no Brasil.",17189,618,0,16,0,PT19S,hd,false,"numismatica, moedas, coleção, react, Bitcoin, Bitcoin físico, moeda Bitcoin, cripto moeda, numismática, Bitcoin é moeda",26,br,pt,bitcoin
32,Ele pediu R$100 MILHÕES emprestado pra comprar Bitcoin (aproveitei e comprei mais),https://www.youtube.com/watch?v=6Fd7GkGi2Qc,6Fd7GkGi2Qc,O Primo Rico,UCT4nDeU5pv1XIGySbSK-GgA,2025-11-18T00:35:00Z,GARANTA SUA VAGA NO “DO MIL AO VIVER DE RENDA”: https://r.oprimorico.com.br/ef8d871a74 . . BLACK FRIDAY FINCLASS ...,302416,13326,0,356,0,PT37M17S,hd,false,"primo rico, thiago nigro, o primo rico, oprimorico, bolsa de valores, investimentos 2025, rt do primo, arca, ipca praia, bitcoin",27,br,pt,bitcoin
33,BITCOIN EM QUEDA LIVRE? | O que está acontecendo com as criptomoedas?,https://www.youtube.com/watch?v=X5wSL4FTNHk,X5wSL4FTNHk,Bruno Perini - Você MAIS Rico,UCCE-jo1GvBJqyj1b287h7jA,2025-11-25T22:05:16Z,"GARANTA SUA VAGA NO “DO MIL AO VIVER DE RENDA"": https://r.vocemaisrico.com/5fe673890e FALE COM UM ...",153471,10547,0,402,0,PT14M58S,hd,false,"educação financeira, finanças pessoais, bruno perini, você mais rico, viver de renda, voce mais rico, ações, investimentos, bruno, perini",27,br,pt,bitcoin
34,O MEDO QUE DERRUBA O BITCOIN É O MESMO QUE O FARÁ SUBIR!,https://www.youtube.com/watch?v=eGj6-KNL3CM,eGj6-KNL3CM,CRIPTOMANIACOS,UCEkg0hhWS_oxD24f_6C9Qbw,2025-12-06T14:00:08Z,Calcule a data da sua APOSENTADORIA: https://aposentadoria.altside.com/ Quer evento presencial em FLORIANÓPOLIS?,34105,4884,0,291,0,PT16M38S,hd,false,"criptomaniacos, criptomoedas, mercado bitcoin, ethereum, comprar bitcoin, criptomoeda, btc, eth, binance, altcoins",22,br,pt,bitcoin
35,Cara Gampang Trading Bitcoin? #bitcoin #trading #crypto,https://www.youtube.com/watch?v=MJt1Sro3-GM,MJt1Sro3-GM,Andy Senjaya,UCF7JTH4DJibstTeJEjZe5DA,2023-06-20T11:59:43Z,,1476732,9294,0,165,0,PT13S,hd,false,,27,br,pt,bitcoin
36,MELHOR HORA pra COMPRAR BITCOIN,https://www.youtube.com/watch?v=Rn2iEknP9Bc,Rn2iEknP9Bc,Primo Pobre,UCOjXqrOxAdXa04obIQREfCA,2025-11-06T01:30:07Z,BITCOIN EM QUEDA - OPORTUNIDADE PARA COMPRAR ABRA SUA CONTA NA BINANCE: ...,49029,3828,0,254,0,PT8M20S,hd,false,"QUEDA DO BITCOIN, BITCOIN EM QUEDA, COMO COMPRAR BITCOIN, MELHOR HORA PRA COMPRAR BITCOIN, BITCOIN PODE CAIR MAIS",22,br,pt,bitcoin
37,"4th Richest Person On Earth, But NO ONE Knows Him - Bitcoin&#39;s Satoshi Nakamoto #shorts",https://www.youtube.com/watch?v=a8bHspbziR4,a8bHspbziR4,FactTechz,UCGdPm5Aq081vVD7ih9jZf6Q,2025-07-19T00:30:00Z,"Satoshi Nakamoto is the name used by the unknown person or group who created Bitcoin. In 2008, Satoshi published a paper ...",4734508,304104,0,867,0,PT1M39S,hd,false,"facttechz, bitcoin, crypto, satoshi Nakamoto, ehterum, bitcoin hindi, millionaire, richest person, youtube shorts, short video",27,br,pt,bitcoin
38,Prepárate: NADIE Espera Este Movimiento en Bitcoin y Cripto,https://www.youtube.com/watch?v=HeE1ZDKRxR4,HeE1ZDKRxR4,Plan BTC,UCYP50Ia1diVVE9fwVnqEyqQ,2025-12-11T11:43:54Z,Bitcoin y las criptomonedas tienen el movimiento esperado desde el último vídeo pero atento porque hoy hablamos de conceptos ...,19015,1575,0,207,0,PT23M47S,hd,false,"bitcoin, altcoins, criptomonedas, blockchain, Binance, Ethereum, btc, memecoin, XRP, ADA",27,br,pt,bitcoin
39,13 year old makes 675 Crores HOW ?? #shorts #trending #bitcoin,https://www.youtube.com/watch?v=SBuHxY0g1Sw,SBuHxY0g1Sw,CA Piyush Bafna,UCIDlsZ1qAuP81LZVrRVQ3RQ,2024-12-12T14:08:09Z,"cryptocurrency , #cryptonews , #bitcoin #memecoins , #quantcoin , #cryptotrading , #CryptocurrencyMarket, #bitcoinalternative ...",1244458,38627,0,138,0,PT44S,hd,false,"Cryptocurrency, CryptoNews, MemeCoins, QuantCoin, CryptoTrading, CryptocurrencyMarket, BitcoinAlternative, Altcoins, CryptocurrencyInvesting, CryptoCommunity",27,br,pt,bitcoin
40,BITCOIN - O QUE FAZER AGORA?,https://www.youtube.com/watch?v=7rnRJZfwxVE,7rnRJZfwxVE,Primo Pobre,UCOjXqrOxAdXa04obIQREfCA,2025-12-03T21:00:08Z,BITCOIN - O QUE FAZER AGORA? ABRA SUA CONTA NA BINANCE: ...,45541,3596,0,162,0,PT10M42S,hd,false,"QUEDA DO BITCOIN, BITCOIN EM QUEDA, BITCOIN VAI CAIR MAIS, BITCOIN VAI SUBIR, POR QUE O BITCOIN CAIU, O QUE ESTÁ ACONTECENDO COM O BITCOIN], É HORA DE COMPRAR BITCOIN, É HORA DE VENDER BITCOIN",22,br,pt,bitcoin
41,"🐻 PARA MIM O CICLO URSO DO BITCOIN ACABOU, É ALTA 🐮",https://www.youtube.com/watch?v=71id6l6hzrI,71id6l6hzrI,Augusto Backes,UCNGqYuEd86K7dY70jE6dhKg,2025-12-04T01:17:04Z,Corretora que utilizo: QUANTFURY: https://quantfury.com/backes/ Participe da comunidade CryptoControl Pro ...,40087,3257,0,291,0,PT1H13M33S,hd,false,"bitcoin hoje, preço do bitcoin, bitcoin análise, bear market acabou, bull market 2025, ethereum hoje, ethereum análise, fundo bitcoin, fundo ethereum, price action bitcoin",24,br,pt,bitcoin
42,Bitcoin subindo e caindo loucamente l O que está acontecendo com as criptomoedas?,https://www.youtube.com/watch?v=5rpkHa7J5gA,5rpkHa7J5gA,Investidor Sardinha l Raul Sena,UCM3vJxmuJJkk1r0yzFI9eZg,2025-11-28T21:46:16Z,Aprenda a investir comigo no Brasil e no mundo: https://sard.ink/218-AUVP Bitcoin está caro? Está barato? Ou isso nem é a ...,100941,7519,0,430,0,PT11M47S,hd,false,"investidor sardinha, bolsa de valores, raul sena, canal de finanças, bitcoin, quando comprar bitcoin, bitcoin 2025, ciclo do bitcoin, halving bitcoin, fear and greed index",27,br,pt,bitcoin
43,"BITCOIN + FED, FIZ EMOCIONADOS DENOVO",https://www.youtube.com/watch?v=xpO-Jrwllo0,xpO-Jrwllo0,Samuca Trader,UCuUd7Lj_kEz7b2I3yHoxjwQ,2025-12-11T05:41:33Z,SALA DE SINAIS: https://botgram.club/sinais-de-trade-criptomoedas CANAL TELEGRAM OFICIAL: ...,3048,319,0,4,0,PT5H25M36S,hd,false,"cripto, criptomoeda, bitcoin, samuca, canal do samuca, análise bitcoin, live, DE OLHO NAS CRIPTOS, de olho nas criptos samuca, samuca trader",27,br,pt,bitcoin
44,&quot;This Is Why the Next Bitcoin Run Will Shock Everyone&quot; - Matt Hougan,https://www.youtube.com/watch?v=GN00YmQ8Tv8,GN00YmQ8Tv8,Savvy Finance,UClMW7w5LIPCr98Hw17GeiYQ,2025-12-11T23:17:55Z,"Trade Crypto, Gold, and Silver 24/7 with tax advantages, 1% fees, top security, and easy sign-up—start now!",946,73,0,12,0,PT22M5S,hd,false,"bitcoin, crypto news, btc, bitcoin news, crypto, stock market, Stock, investment, savvy finance, finance",27,br,pt,bitcoin
45,Everything Says Bull Run for Bitcoin… Except the Price. Time to Take Action?,https://www.youtube.com/watch?v=Z1_Fq5oH0C0,Z1_Fq5oH0C0,Digital Asset News,UCJgHxpqfhWEEjYH9cLXqhIQ,2025-12-11T19:01:10Z,"Bear or Bull? Bearish short term, but buying every day! The links below may include affiliate links, which means I may receive a ...",7855,607,0,43,0,PT44M51S,hd,false,,24,br,pt,bitcoin
46,Non-profitable Trader.😂😭 #memecoin #crypto #bitcoin #meme #pino #solana #trading #business #money,https://www.youtube.com/watch?v=trVmDXMaj-M,trVmDXMaj-M,Pino,UCuFdxAB-aXZRtRv8cA_hN9Q,2025-05-08T20:00:57Z,,100576164,668003,0,596,0,PT10S,hd,false,,22,br,pt,bitcoin
47,Bitcoin explained and made simple,https://www.youtube.com/watch?v=s4g1XFU8Gto,s4g1XFU8Gto,The Guardian,UCHpw8xwDNhU9gdohEcJu4aA,2014-06-25T16:00:41Z,"Baffled by bitcoin? Confused by the concept of crypto-currencies? Well, fear no more. In 190 seconds we explain what bitcoin ...",2898370,26865,0,8189,0,PT3M25S,hd,false,"bitcoin, cryptocurrency, what is bitcoin, bitcoin explained, bitcoin for beginners, bitcoin mining, bitcoin news, what is bitcoin mining, dogecoin, mt gox",25,br,pt,bitcoin
48,BITCOIN TEM UMA CHANCE ⚠️ NÃO VENDA ANTES DE ASSISTIR!,https://www.youtube.com/watch?v=LbHuQcWZQSE,LbHuQcWZQSE,CRIPTOMANIACOS,UCEkg0hhWS_oxD24f_6C9Qbw,2025-11-22T23:51:26Z,Nos últimos dias o BITCOIN perdeu o suporte das suas principais médias-móveis indicando entrada em Ciclo de Baixa (Bear ...,70768,9202,0,692,0,PT22M42S,hd,false,"criptomaniacos, criptomoedas, mercado bitcoin, ethereum, comprar bitcoin, criptomoeda, btc, eth, binance, altcoins",22,br,pt,bitcoin
49,O BITCOIN SO FEZ ISSO 3X NOS ULTIMOS 15 ANOS ( se prepare ),https://www.youtube.com/watch?v=r1pJwzu9Cho,r1pJwzu9Cho,Investidor 4.20,UC8oofAsuieQv3imZGvaUDOQ,2025-12-05T20:01:00Z,+ Conteúdo Gratuito toda semana no seu e-mail: ...,37739,3454,0,199,0,PT16M20S,hd,false,"bitcoin, criptomoeda, investidor4.20, lucas amendola, ethereum, cripto, melhores criptomoedas, mercado cripto, investidor 4.20, como investir em criptomoedas",24,br,pt,bitcoin
50,Michael Saylor: BITCOIN BULL RUN READY TO BE CONFIRMED! BTC PRICE PREDICTION,https://www.youtube.com/watch?v=hkO4zzaAs8k,hkO4zzaAs8k,FAANA MUSIC,UCkIKHSr1WfnMdU-_GLTHQpA,2025-12-11T15:22:17Z,BTC #Bitcoin #Cryptocurrency Join Michael Saylor for his unforgettable keynote at the Bitcoin Сonference. A visionary Bitcoin ...,48927,12298,0,0,0,P0D,sd,false,"bitcoin, crypto news, bitcoin news, btc, cryptocurrency, bitcoin live, bitcoin price, bitcoin price prediction, bitcoin news today, bitcoin mining",27,br,pt,bitcoin
