author,rating,title,content,votes,date
Rei da Gnose,1,Pessimo,A Bipa bloqueia a conta entrega os dados para o governo.,0,2025-07-31T13:25:17-07:00
mateus carvalho ferreira leite,5,Sensacional!,"A BIPA é a melhor corretora do Brasil! Uma pena esse país ser tão miserável ao ponto de apontar uma arma para a cara do cidadão que quer ser livre comprando Bitcoin, ameaçando tb as corretoras. Tirando isso, tudo ótimo!",0,2025-07-30T13:08:09-07:00
MAFELUZZ,5,Melhor App de TODOS,Eu amo a Bipa e uso praticamente todos os dias desde 2021. O App está cada vez melhor e integrado ao meu dia dia. Já não sei mais viver sem receber Satsback em todas as compras e fazer compras programadas sem taxas!!,1,2025-07-23T05:37:02-07:00
Romanogabriel,5,A melhor,A melhor do Brasil para compra e venda de BTC e UDST,1,2025-07-19T09:23:05-07:00
Rafaelmorenoss,5,Use o código ETUFBO,"Pra ganhar R$:100,00 em biticoin, quando adicionar saldo na conta!",0,2025-07-12T20:24:33-07:00
Esaraujo81,1,Não bonificou,"Fiz o cadastro e instalei o app em uma promoção que ganharia 100 reais de bonificação, nunca recebi.",0,2025-07-02T14:38:14-07:00
Leonardo de Araújo,1,Login QUEBRADO,"Após solicitar o código enviado por SMS, o app pede para validar a facial. Porém, mesmo dando permissão para usar a câmera e localização, no momento que abre uma tela onde deveria validar meu rosto, o espaço do “rosto” fica preto e nada acontece… Enfim, não consigo mais acessar a conta.",0,2025-06-28T10:28:38-07:00
wilou franco,3,Cartão,"Plataforma incrível pra comprar Bitcoin, só deixa a desejar o cartão que tem uma fila de espera para obter",0,2025-06-25T17:30:21-07:00
DihEspindolA,5,O básico perfeito.,"Gosto de plataformas simples, porém, rápidas, aqui na Bipa realmente é assim, tudo bem simples e descomplicado, ou seja, perfeito!!!",1,2025-06-23T06:31:20-07:00
Andreza P_,1,Roubo,"Tinha uma conta a quase um ano neles, bloquearam minha conta com um saldo de mais de 20k, não devolvem… só enrolação. Pessimo, se você quer ser roubado, use BIPA.",0,2025-06-18T18:57:00-07:00
Tunidgey,1,Bloqueando,Estão bloqueando a conta de seus usurários,0,2025-06-16T20:54:10-07:00
Edkleitson,5,Não recebo o e-mail/SMS p,"Muito ruim, tentei criar a conta, sequer recebi e-mail/SMS de confirmação para criar minha conta.",0,2025-06-16T08:56:35-07:00
Problema para acessar conta,3,Problemas pra acessar a conta,"Estou com problemas pra acessar minha conta, o sistema parece frágil ainda, pois não deveria ser um problema eu acessar minha conta, espero que logo eu consiga resolver esse problema e acessar o meu dinheiro.",0,2025-06-14T08:49:50-07:00
Kaelumx,1,Não consigo logar na minha conta,"Tive uma conta por um tempo, realizei alguns investimentos em bitcoin e afins para testar o app, agora fui logar novamente, pois gostaria de continuar usando o serviço e voltar a investir, porém não recebo o email de  verificação e o app não permite que eu faça a verificação facial quando utilizo meu número de telefone, sendo assim, impossibilitando o login na minha conta, no geral gosto muito do app e de seus serviços, mas isso me deixou chocado.",0,2025-06-11T11:44:10-07:00
Léocecca,2,Não consigo abrir o aplicativo por dias,"Infelizmente venho tendo problemas com a bipa pois não estou conseguindo abrir o aplicativo por dia. Tentei entrar em contato porém ainda não tive sucesso. Se a única possibilidade de entrar em contato é pelo app e o app não abre fica difícil 
Já fico até um pouco inseguro",0,2025-05-22T15:00:45-07:00
Mairon Costa,2,Atendimento ruim e parou de aceitar TED,Parou de aceitar transferência por TED sem avisar (obrigatório só PIX agora) e é impossível ser atendido no suporte por alguém que realmente ajude. Sem contar a instabilidade constante da plataforma! Procurar outro provedor!,0,2025-05-09T05:59:40-07:00
Habuashshs hBshs bahsn,5,Muito bom,GMIKME meu codigo para ganha 20$ em btc✅,0,2025-05-06T14:39:59-07:00
dricacaetano,5,Adorei,Fácil de usar,0,2025-04-23T18:11:59-07:00
Kaique_021,1,"Esqueci meu pin de 4 dígitos não consigo trocar, tbm não consigo trocar meu numero de telefone","Tenho dinheiro lá, preciso sacar",0,2025-04-22T20:51:14-07:00
dlmsantos,1,O pix não cai na conta,"Fiz o Pix a uma semana e o valor não cai na conta. O suporte é robotizado, fala que um terceiro está com problemas no sistema e não diz quando vai resolver e nem se vai resolver. Não responde quanto ao prejuízo causado pela diferença de cotação nem oferece a possibilidade do extorno. Cuidado ao depósitar grandes quantias. Com esse tipo de atendimento, sempre um pé atrás",0,2025-04-22T05:55:17-07:00
Pix pendente,1,Meu pix está pendente,Meu pix está pendente e não está enviando,0,2025-04-13T11:47:36-07:00
Brodriguez27,1,Problema com o pix,Demorei 4 dias para conseguir fazer uma transferência via pix não recomendo.,0,2025-04-11T08:23:33-07:00
lenix03,3,Versão do aplicativo,"Senhores, tenho um iPhone 7 ios 15.8 não possível manter uma versão para celulares mais antigos ? Não quero ter usar outra corretora 😭",0,2025-04-08T03:22:09-07:00
JonhPD,5,Saque para carteira própria com limite mínimo??? Really???,"Simples você quer comprar e enviar para sua carteira de confiança? Principalmente quem segue dca, que vai depositando gradualmente., qual o sentido ser obrigado a manter meu valor na plataforma, que convenhamos se você está lendo isso, não deixe, nem na bipa nem em qualquer outra, ao comprar sempre! Repito Sempre retire ! enviando pra sua cold wallet ou hot wallet. Ou seja, me animou muito a proposta da bipa, descomplicada, porém esse mínimo, não me agradou pois em outras corretoras, o valores podem ser pequenos o quanto for, (inclusive é algo muito inteligente,) nelas já posso tirar direto e mandar pro meu endereço. Sugiro essa melhora.",0,2025-04-07T10:40:09-07:00
Lucas •••••,1,Impossível sacar os bitcoins,"Esse aplicativo parece esquema de pirâmide, pra botar o dinheiro é muito fácil agora pra tirar é horrível, já estou tentando tirar meu dinheiro a semanas e sempre tem um bug ( alegadamente pelo suporte)",0,2025-04-04T13:58:48-07:00
João vetor,5,Ótimo,"Único ponto “negativo” é quando for preciso trocar de celular ou acessar conta por outro, aí pode acontecer de você ficar sem acesso por dias até.",0,2025-04-03T14:48:01-07:00
Jduarye,1,Risco de perder seu dinheiro!,"Minha conta não abre .. 
(Problemas com a verificação facial sendo que nem a câmera o app acessa) 
aplicativo não funciona 
Horas para o suporte te responder e no final não resolvem pediram para aguardar 24h.",0,2025-04-01T08:45:02-07:00
João Victor Boy,5,Só tive dor de cabeça!,"Demoram muito pra liberar o cartão, não tem como mudar o endereço e o suporte é por bot que não resolvem nada . Péssimo!",1,2025-03-31T15:39:32-07:00
Cleiton 2314,1,"É golpe esse banco,galera","Ele aprovam a conta,vc faz algumas transações,depois o app fica dando só erro na hora de tirar o dinheiro no Pix dele,é golpe na certa.. vi várias reclamações no site reclame aqui",1,2025-03-29T09:19:51-07:00
Elkean,5,Maldita atualização!!,"Problermas BIPA

Olá percebi alguns prioblemas depois da atualização do app:

Primeiro meu saldo em satoshis ontem, 20/03 às 08:56 era de 155.183, mas agora, dia 21/03 às 08:10 é de 160.153
O problerma é que das 08:56 do dia 20, até às 08:06 do dia 21, foram feitas 25 compras de R$ 1,00 e uma compra R$ 6,00 de satoshis totalizando 6408 satoshis. Somando o saldo de ontem as 08:56 com os satoshis comprados nas últimas 24 horas o saldo seria 161.584.
Mas o saldo agora é 160.153 esta faltando 1431!Então o saldo está errado! Por favor me explique isso!

Também não consigo enviar meus satoshis para minha carteira desde a atualização do app.",0,2025-03-21T06:55:06-07:00
luhack,5,Único cartão de credito com Bitcoin do Brasil e Satsback™️,"Na Bipa, além de comprar Bitcoin usando o Pix e a sua própria conta. Você também pode usar o seu Bitcoin para ganhar crédito no cartão e ganhar cashback em Bitcoin.",3,2025-03-21T03:06:31-07:00
shehdhfjrirbdkepdbrjensi,1,Erro acesso,"Já sou cliente e o aplicativo não está acessando minha conta 
Está dando erro e não consigo acesso ao suporte porque o suporte é respondido pela IA e a IA não consegue entender  o problema e não me dá acesso para falar com alguém 
Recuso do e-mail para enviar o tipo de problema do app",0,2025-03-20T10:19:07-07:00
Josielk9,1,Indiguinado,Não existe suporte oque tem la e a msm coisa de nada não consigo entrar na minha conta mais e o pior tenho dinheiro la dentro possivelmente a BIPA DEVE SER MAIS UM GOLPE,0,2025-03-18T23:08:39-07:00
Tuteblacle,1,Atualização,Após a atualização não foi mais possível entrar na conta,0,2025-03-11T07:54:55-07:00
Payme-sama,1,PIOR SERVIÇO QUE JÁ VI!,"Serviço horrível! Suporte todo feito por robôs, que não ajudam em nada. 10 dias pra resolver algo simples e nada. Insatisfeito e com muita raiva!

Não coloque seu dinheiro, vai se arrepender.",0,2025-03-06T08:58:24-07:00
mateusp1303,4,Falta histórico detalhado,"App muito bom, mas fazendo DCA seria interessante ter uma feature para exportar o histórico contendo: valor (R$) gasto, BTC adquirido e cotação do BTC naquele momento.",0,2025-03-02T07:43:24-07:00
Miller Dortmund,1,Conta pix bloqueada,"Minha conta foi bloqueada sem motivo claro. Pedem 4 dias para analisarem com o parceiro, enquanto isso o pix que enviei está retido.",0,2025-02-20T15:12:27-07:00
bcngmd,5,Nao consigo abrir mais apos a atualização!!!,Como proceder??,0,2025-02-20T07:23:31-07:00
"23784),&8",1,Puro golpe,Isso é uma fralde eles te inganan roubam o dinheiro q vc já n tem são um bando de golpista n Cain mais nisso n,0,2025-02-19T19:47:52-07:00
J Soareees,1,Atendimento péssimo,"Péssimo, mandei um email pois não consegui nem abrir a conta eles simplesmente nem leram o que pedi, e disseram que eu não fui aceita no aplicativo.",0,2025-02-17T13:25:15-07:00
mkevisonoliveira,1,Bipa está aplicando golpe,"Depois que colocamos o dinheiro via Pix e compramos o Bitcoin, ela suspende a conta e diz que foi bloqueado por bancos parceiros e dificulta o estorno do dinheiro",0,2025-02-15T09:52:53-07:00
MatheusCerqueira889,1,Desloga Sozinho,"Acesso minha conta e o app fica me deslogando sem motivo, toda hora preciso fazer login, é brincadeira isso?",0,2025-02-12T17:49:20-07:00
kiquesil17,1,Suporte pessimo,"Mal entrei na conta já me bloquearam temporariamente, estou a vários dias se consegui fazer minhas transações, mexer no meu dinheiro e o suporte não fez nada pra me ajudar até o momento 
Estou sem usar meu dinheiro e minha conta ainda está bloqueada",0,2025-02-11T06:35:58-07:00
Triusky,1,Péssimo,"Não tem suporte adequado, qualquer problema que acontece eles te mandam excluir o aplicativo e baixar de novo! A senha que cadastrei no aplicativo fica dando incorreta, nem eles sabem resolver esse problema. Você tenta falar com alguém do suporte e parece que é tudo robô. Experiência terrível!",0,2025-01-30T10:30:41-07:00
Matheustsz,4,Gostei,Estou experimentando,1,2025-01-29T14:34:07-07:00
paulintrem,5,Bom,Deve melhorar,0,2025-01-29T09:55:23-07:00
Dereknux,1,FUJA!,"Automatização 100%, se um dia voce tiver problema, vai ter que falar com robôs.
Não tem 'humano' pra te atender.",0,2025-01-27T16:20:32-07:00
Jaisson Gustavo,1,Não dá pra sacar o dinheiro e taxa muito alta,Nota 0,0,2025-01-25T03:01:21-07:00
Giowrd,1,Cadastro reprovado 6x,"Estou sem saber o motivo. Usem a Bybit ou Foxbit, ambas pelo menos tem suporte que tenta ajudar.",0,2025-01-24T04:31:56-07:00
Allan Geek,1,Rejeita meus dados,"Tentei utilizar, mas é impossível. Fiz o processo de envio dos dados duas vezes, as fotos ficaram 100% nítidas e mesmo assim é rejeitado sem dar o motivo. O contato com o suporte é só com AI, que não resolve nada. Infelizmente ficou inviável o uso.",0,2025-01-23T17:22:47-07:00
Namercur,1,Nao aceitam cadastro,"Possuo iphone13 com camera em excelente estado e os caras nao aprovam meu cadastro alegando que a foto esta borrada, tentei umas 4x todas reprovadas dizendo foto borrada… estou é achando que nao querem novos clientes",0,2025-01-16T14:13:04-07:00
Iurisoares.,1,"Suporte horrível, mandei msg demora mt a responder. Conversando igual antibiótico de 8em 8hrs","Não respondem em tempo hábil, cadastro rejeitado sem falar o motivo suporte horrível",0,2025-01-14T06:15:51-07:00
Opa l,1,CONTAS BLOQUEADO,"A bipa está bloqueando contas com saldo dentro, sem nenhum aviso prévio. Suporte horrível, típico de uma empresa fraudulenta.",0,2025-01-10T06:43:44-07:00
PedroPKSantos,5,Melhor correta de BTC,"Permite compras recorrentes, é simples e intuitivo, permite o uso de Lightning network",1,2025-01-09T07:09:09-07:00
A Duxuki,1,Cadastro,Não consigo realizar meu cadastro pois não aceita a nova carteira de identidade e a anterior está antiga.,0,2025-01-08T13:38:37-07:00
Henry 420,5,Excelente,"Uso desde o lançamento, funciona perfeitamente. Prática direto, sem enrolação nem pegadinhas",1,2025-01-03T07:24:49-07:00
natasilvasantos,1,ruim,"depois dessa ultima atualização não consigo abrir o app, na hora de entrar no aplicativo fica apenas carregando. eu desinstalei e instalei de novo mas não funciona, por favor resolvam isso.",0,2025-01-02T12:39:08-07:00
Paulão000,1,Péssimo app,"Software mau feito, abri um chamado ou suporte e não consigo abrir o bate-papo. Estou uma semana tentando me cadastrar mas ninguém me dá um aviso de que não é possível cadastrar ou uma ideia do que está faltando. Péssimo aplicativo.",0,2025-01-02T06:26:54-07:00
Bdebarcos,1,PREÇO BTC DIVERGENTE,"Como que o preço do bitcoin no app da bipa está em um valor. Mas em todas as outras corretoras está um valor igual. Só recuperar meu inicial, vou sair dessa BIPA",0,2024-12-26T00:22:00-07:00
Definomdnd,1,Vou processar,"Se não desbloquearem minha conta, processo vai cair no lombo de vcs, sem necessidade bloquearam a conta",0,2024-12-25T13:05:01-07:00
Theo Bates,1,Pessimo !,Comecei essa semana investir na bipa! Comprando aos poucos meus primeiros satoshi! E do nada bloquearam minha conta ! Com todo saldo ! Suporte não atende,0,2024-12-24T04:35:54-07:00
João victor Munhoz,1,Não consigo fazer transferência,"Baixei o bipa ontem paguei algumas contas e hoje meu aplicativo já não funciona mais , não efetua transferências suporte de atendimento não dá uma informação correta que realmente resolva seu problema , não tem um telefone para ligar ao SAC…. PRECISO DO MEU DINHEIRO QUE ESTÁ NO BANCO",0,2024-12-20T08:58:03-07:00
Pistola.40,1,Golpe,Não caiam é golpe,0,2024-12-20T07:57:58-07:00
Becker 89CWB,2,Muita demora,"Pra depositar dinheiro é rápido, mas pra transferir o Btc pra outra wallet leva várias horas. Os créditos de indicação e boas vindas tb não foram creditados ainda e o suporte não resolve nada, não tem nenhum humano pra te ajudar, só o chatbot.",0,2024-12-20T07:44:15-07:00
GaltechS,1,Conta Bloqueada,"Conta bloqueada, suporte ineficiente não resolve, preciso de ajuda!!!",0,2024-12-20T05:39:05-07:00
capiva1,3,Falha,Não consegui comprar btc por várias tentativas,0,2024-12-19T08:30:18-07:00
Ddd-avaliação,5,Muito bom,Estou tendo uma experiencia muito positiva!!,0,2024-12-18T14:37:12-07:00
Lastpazz,1,Ineficiente,"Demora muito para atualizar o preço e nunca está no msm preço sempre mais caro  ,muito mais caro",0,2024-12-09T08:39:03-07:00
VulgoBilly,4,Quase perfeito para o que se propõem,Eu acredito do que este app é bom demais para quem é novo usuário e ao mesmo tempo educativo pois já explica sobre a carteira Lightning e onchain. Porém ele tem algumas instabilidades e se não fosse isso. Seria perfeito,0,2024-12-07T23:47:11-07:00
Fênix@,1,Invasão de conta,Invadiram minha conta trocaram o e-mail e o pin e agora não consigo movimentar! Estou tentando o suporte mas não tem ninguém humano para me ajudar,0,2024-12-07T01:56:44-07:00
Lisboabh,1,### G O L P E ###,Simplesmente estão bloqueando as contas e sumindo com o saldo. Corram enquanto é tempo.,0,2024-12-04T16:06:50-07:00
Bruna Cipry,1,Golpe não caiam,Bloquearam minha conta com meu dinheiro,0,2024-11-29T16:07:20-07:00
Thomazinhoz,5,"Melhor app, para transacionar BTC E USDT!!!",Melhor app!,1,2024-11-28T10:04:48-07:00
Jv171@,1,Ruim,"Ruim, não consigo tirar meus bitcoin e mandar pra minha carteira metamask, suporta deles é péssimo só fica falando pra tentar resolver novamente e não resolvem nada, não dá opção de transferir",0,2024-11-27T13:13:46-07:00
tiagodebeise,1,Sumiram com meu saldo e atendimento com descaso,"Fiz um pix pra conta, dei uma ordem de compra que ficou pendente por uma hora, pedi ajuda no suporte do aplicativo e tive a conta bloqueada, no aviso de bloqueio me falaram pra entrar no chat de suporte do aplicativo que por acaso já não abre mais na conta bloqueada 🤡

Atualizando: Agora meu login está inválido, ou seja, nem o botão do suporte (que já não abria pra mim) aparece pra receber o contato a respeito do que houve",2,2024-11-23T10:46:49-07:00
_laura_01_0,1,GOLPE,7 mil reais bloqueado nesse App. NÃO BAIXEM E GOLPE,0,2024-11-22T07:29:49-07:00
Positivo 👍🏽,1,Não caia nessa!!,Pessimo,0,2024-11-19T11:32:35-07:00
AndorinhaSL,3,Vende mais caro?,"Comprei BTC a + ou - $91.220,00 e estava online em outras Plataformas no valor de $90.400,00. Como vocês explicam isso? Eu comprei a um preço acima de outras Plataformas. Não é em tempo real que ocorrem as transações? Isso não está certo. Como explicam isso?",0,2024-11-18T16:50:01-07:00
João Vitor Rocha Gonçalves,1,Conta bloqueada,Minha conta foi bloqueada com todo meu dinheiro primeiro eles não aceitavam eu estar fazendo pix pediram 4 dias úteis pra me fala o porque minha conta não fazia mais pix no outro dia minha conta amanheceu bloqueada e eu estou cheio de contas atrasadas por causa disso se não liberaram minha conta irei move uma ação judicial contra eles pois estão me causando muito transtorno tenho que pagar água e luz da minha casa e meu dinheiro todo bloqueado e o suporte não faz a mínima ideia porque isso aconteceu só me pedem pra fica esperando e esperando e não resolvem meu problema eu só quero o meu dinheiro tenho todas as mensagens e-mais gravações de tela mostrando a conta bloqueada tentativas de pix para várias contas diferentes vários valores e nada,0,2024-11-13T14:03:08-07:00
Jh2002hiik,1,Atenção,"Bloquearam minha conta com nem 1 dia de uso ,comprei btc,assim que fui comprar mais já estava bloqueada .",0,2024-11-12T10:57:45-07:00
