author,rating,title,content,votes,date
Tarsia Thata,2,Ruim,"muito ruim
Aparece um valor de venda e vc clica para vender e nunca recebe o mesmo valor . O Preço do ativo e sempre mais baixo do que aparece. Muito desatualizado",0,2025-06-18T19:23:52-07:00
luc aplle,5,Aplicativo top demais,Gosto muito deste aplicativo a plataforma do mercado bitcoin é maravilhosa bem acessível e prática continue assim,0,2025-06-17T13:43:01-07:00
Alemãozinho 5.4,5,Sugestão,Deveria ter um ícone de fácil visualização para transferir bitcoins de uma conta para outra.,0,2025-06-03T12:43:06-07:00
r.e.g.g.i.ePic,5,App MB,Facilidade em navegar no app e as informações sobre a forma de investir são bem claras,0,2025-05-27T16:27:06-07:00
EduBand,1,Transferência de Crypto,"Falta a opção de transferência de crypto, algo básico em uma corretora que se propõe a captar clientes. A opção de visualizar o valor das cryptos em USD também seria uma boa!",0,2025-05-22T04:18:56-07:00
Wesley_Marques,1,Ruim e sem suporte,"Toda hora ele pede pra logar com o CPF e fala que precisa cadastrar o pin novamente. Valores das taxas são alto. Não tem suporte técnico e nem cuidam do app, pode se observar pelos comentários, com tantos negativos e nenhuma resposta.",0,2025-05-21T20:36:40-07:00
pollybomb,5,Experiência,"Gosto muito da plataforma e confio nela, em agosto fará um ano que a utilizo, tem minha recomendação",0,2025-05-21T13:58:50-07:00
Daniel ap dias,5,Excelente,Adorei a ideia de investir,0,2025-05-13T20:27:03-07:00
Avs8815,5,Tá travando,Depois da ultima atualização fica travado e não dá acesso e um uma mensagem de erro tente novamente.,0,2025-05-13T03:28:12-07:00
Brena Michelle,4,Sou aprendiz,"Sou aprendiz aqui. Aprendi que não devo me entusiasmar. Quanto mais você estuda, mais entende sobre o que não deve fazer! É preciso ser frio e calculista e não deixar a ganância falar mais alto!",0,2025-05-12T08:12:11-07:00
Tfgwfusjeg,1,Péssimo!,"Comprei 100 reais para testar 
No ato da compra já descontaram 1,69% de taxa, mas na carteira aparecia um desconto de 3,53% 
Os valores da ordem em BTC são confusos e aparecem dois valores diferentes 
Até o dia do saque o btc tinha valorizado 3,27%
Agora eu te pergunto pq eu só consegui sacar R$94,34 ? 
Mano, sério, q roubalheira! 
Até o inter e o Itaú são mais transparentes nas taxas absurdas q eles cobram. 
Uns dois dias antes também fiz uma compra pelo Itaú e acabei de sacar com 5,4% de lucro líquido 

Mercado btc pra mim foi um lixo
Não entendi se as taxas são proporcionais ou fixas. De qualquer maneira faltou transparência nas taxas",0,2025-05-11T11:34:27-07:00
mdm080,1,Taxas altas,"Taxas pra cada compra e venda é alta ao meu ver. Melhor se colocassem taxa apenas para saque como em outras corretoras.
Corretora limitada para negociações",0,2025-04-30T12:19:05-07:00
Till HERR,5,Estável,"Estável, prático e seguro",0,2025-04-17T05:59:05-07:00
Lucio Segalla,1,Ruim,"Muito limitado, você compra a moeda e não consegue transferir, tudo demora para processar, etc.
Perto da Binance esse app é um lixo.",0,2025-04-16T06:17:01-07:00
JanainaIta,1,Pessimo,"NÃO USEM! É lento, não atualiza, demora para creditar, a gente perde o timing das transações e só perde dinheiro. HORRÍVEL",0,2025-04-11T20:01:52-07:00
Um cubano em Brasil,5,Só se compra não se vende BTC,"Bom até agora app funciona bem,Parabéns",0,2025-04-09T06:19:20-07:00
Sannttooss,1,App confuso,"Extremante confuso entender algo, comprei cripto o dinheiro fica na primeira parte mas na carteira digital não mostra os ativos, sendo que o saldo nem está lá de vdd, pq o que mostra é o valor que vc investiu.. preciso de ajuda",0,2025-04-05T20:24:02-07:00
Gustavo Terras,5,MB de muito bom,"Simples, fácil e intuitivo, tudo que um app de corretora precisa ser.",0,2025-04-02T11:31:24-07:00
